label,parameter,unit,step,component,value,source,source_link
battery_capex,CapEx,EUR/kWh,Energy System Design,Battery,540.0,Gabriel Veilleux et al.: Techno-economic analysis of microgrid projects for rural electrification: A systematic approach to the redesign of Koh Jik off-grid case study. 2020,https://linkinghub.elsevier.com/retrieve/pii/S0973082619309160
battery_opex,OpEx,EUR/kWh*a,Energy System Design,Battery,5.0,Chakphed Madtharad et al.: Microgrid Design for Rural Island in PEA Area. 2018,https://ieeexplore.ieee.org/document/8541848
battery_minimum_soc,Minimum SOC,%,Energy System Design,Battery,15.0,Gabriel Veilleux et al.: Techno-economic analysis of microgrid projects for rural electrification: A systematic approach to the redesign of Koh Jik off-grid case study. 2020,https://linkinghub.elsevier.com/retrieve/pii/S0973082619309160
battery_maximum_soc,Maximum SOC,%,Energy System Design,Battery,100.0,ESMAP: Mini Grids for Half a Billion People. 2022,https://openknowledge.worldbank.org/server/api/core/bitstreams/32287154-1ccb-46ce-83af-08facf7a3b49/content
battery_c_rate_in,C-rate in,-,Energy System Design,Battery,1.0,,
battery_c_rate_out,C-rate out,-,Energy System Design,Battery,1.0,,
battery_roundtrip_efficiency,Roundtrip efficiency,%,Energy System Design,Battery,90.0,ESMAP: Mini Grids for Half a Billion People. 2022,https://openknowledge.worldbank.org/server/api/core/bitstreams/32287154-1ccb-46ce-83af-08facf7a3b49/content
inverter_lifetime,Lifetime,a,Energy System Design,Inverter,25.0,Rocky Mountain Institute: Minigrids in the Money: Six Ways to Reduce Minigrid Costs by 60% for Rural Electrification: 2018,https://rmi.org/wp-content/uploads/2018/12/rmi-seeds-minigrid-report.pdf
inverter_capex,CapEx,EUR/kW,Energy System Design,Inverter,350.0,ESMAP: Mini Grids for Half a Billion People. 2022,https://openknowledge.worldbank.org/server/api/core/bitstreams/32287154-1ccb-46ce-83af-08facf7a3b49/content
inverter_opex,OpEx,EUR/kW*a,Energy System Design,Inverter,7.0,NREL: Tariff Considerations for Micro-Grids in Sub-Saharan Africa. 2018,https://www.nrel.gov/docs/fy18osti/69044.pdf
inverter_efficiency,Efficiency,%,Energy System Design,Inverter,95.0,HOMER Energy,
pv_lifetime,Lifetime,a,Energy System Design,PV,25.0,Gabriel Veilleux et al.: Techno-economic analysis of microgrid projects for rural electrification: A systematic approach to the redesign of Koh Jik off-grid case study. 2020,https://linkinghub.elsevier.com/retrieve/pii/S0973082619309160
pv_capex,CapEx,EUR/kW,Energy System Design,PV,845.0,Leontina Walldén et al.: Analysis of Microgrid Electrification on Phaluai Island. 2023,https://www.diva-portal.org/smash/get/diva2:1776786/FULLTEXT01.pdf
pv_opex,OpEx,EUR/kW*a,Energy System Design,PV,8.45,ESMAP: Mini Grids for Half a Billion People. 2022,https://openknowledge.worldbank.org/server/api/core/bitstreams/32287154-1ccb-46ce-83af-08facf7a3b49/content
h2_storage_lifetime,Lifetime,a,Energy System Design,H2 Storage,30.0,Practitioner's value,
h2_storage_capex,CapEx,EUR/kg,Energy System Design,H2 Storage,4000.0,Practitioner's value,
h2_storage_opex_variable,OpEx variable,EUR/kg,Energy System Design,H2 Storage,0.0,NOW: H2 in der dezentralen Energieversorgung. 2023,https://www.now-gmbh.de/wp-content/uploads/2023/05/H2-in-der-dezentralen-Energieversorgung_Ergebnisbericht_E4tech.pdf
h2_storage_opex_fixed,OpEx fixed,EUR/kg*a,Energy System Design,H2 Storage,40.0,Practitioner's value,
h2_storage_minumum_soc,Minumum SOC,%,Energy System Design,H2 Storage,5.0,Practitioner's value,
h2_storage_maximum_soc,Maximum SOC,%,Energy System Design,H2 Storage,100.0,Practitioner's value,
h2_storage_efficiency,Efficiency,%,Energy System Design,H2 Storage,100.0,Practitioner's value,
h2_electrolyzer_lifetime_system,Lifetime (system),a,Energy System Design,H2 Electrolyzer,10.0,Practitioner's value,
h2_electrolyzer_lifetime_stack,Lifetime (stack),h,Energy System Design,H2 Electrolyzer,35000.0,Practitioner's value,
h2_electrolyzer_capex,CapEx,EUR/kW,Energy System Design,H2 Electrolyzer,5000.0,Practitioner's value,
h2_electrolyzer_opex_variable,OpEx variable,EUR/kg,Energy System Design,H2 Electrolyzer,0.02,NOW: H2 in der dezentralen Energieversorgung. 2023,https://www.now-gmbh.de/wp-content/uploads/2023/05/H2-in-der-dezentralen-Energieversorgung_Ergebnisbericht_E4tech.pdf
h2_electrolyzer_opex_fixed,OpEx fixed,EUR/kW*a,Energy System Design,H2 Electrolyzer,50.0,Practitioner's value,
h2_electrolyzer_efficiency,Efficiency,%,Energy System Design,H2 Electrolyzer,65.0,Practitioner's value,
h2_fuel_cell_lifetime_years,Lifetime,a,Energy System Design,H2 Fuel Cell,10.0,Practitioner's value,
h2_fuel_cell_lifetime_hours,Lifetime,h,Energy System Design,H2 Fuel Cell,40000.0,Practitioner's value,
h2_fuel_cell_capex,CapEx,EUR/kW,Energy System Design,H2 Fuel Cell,5250.0,Practitioner's value,
h2_fuel_cell_opex_variable,OpEx variable,EUR/kg,Energy System Design,H2 Fuel Cell,0.006,NOW: H2 in der dezentralen Energieversorgung. 2023,https://www.now-gmbh.de/wp-content/uploads/2023/05/H2-in-der-dezentralen-Energieversorgung_Ergebnisbericht_E4tech.pdf
h2_fuel_cell_opex_fixed,OpEx fixed,EUR/kW*a,Energy System Design,H2 Fuel Cell,52.5,Practitioner's value,
h2_fuel_cell_efficiency,Efficiency,%,Energy System Design,H2 Fuel Cell,45.0,Practitioner's value,
h2_fuel_cell_lhv,LHV,kWh/kg,Energy System Design,H2 Fuel Cell,33.3,"National Academies of Sciences, Engineering, and Medicine: The Hydrogen Economy: Opportunities, Costs, Barriers, and R&D Needs.  2004, Washington, The National Academies Press. https://doi.org/10.17226/6496.",https://www.nationalacademies.org/read/10922/chapter/21
